PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	99	0.5210167	0.5818833	0.62615	201.0756	2129.10791015625	7226.37744140625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	11.58576	201.01169:866 201.07327:2772 201.99001:303 202.06541:1067 202.99974:778 203.07439:444 203.15257:617 204.04442:1575 204.94568:2986 204.99541:10984 205.16127:219 205.95247:639 205.99625:731 206.03355:624	
1	Unknown	99	0.52655	0.5818833	0.6482834	217.0493	4816.34912109375	20366.517578125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	16.08363	216.94693:217 217.04927:5055 217.10075:1797 217.17674:287 218.03784:1564 218.10339:308 219.00754:913 219.10413:507 220.01332:254 220.11031:225 221.01952:352 221.10191:554 222.01675:355	
2	Unknown	100	0.5320833	0.5874166	0.6482834	142.0346	4581.66748046875	16375.45703125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	23.50124	141.96719:2609 142.0345:5035 142.96996:595 143.0274:2390 143.11436:253 143.96786:1843 144.02951:1283 144.10379:212 145.01256:1092 145.96457:662 146.02003:1063 146.9176:674	
3	Unknown	100	0.5542167	0.5874166	0.6538166	158.0127	18393.162109375	63681.08984375	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	32.548	157.97351:2953 158.01268:22458 158.12561:586 158.99861:8247 159.97151:746 160.00508:577 161.0067:293 162.00739:895 162.98463:423	
4	Unknown	100	0.5154833	0.5874166	0.6372167	173.9844	10578.107421875	43186.00390625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	47.80279	173.98442:12316 174.99326:990 175.98613:1559 177.03073:496 177.09195:534 177.94923:393 177.98241:759	
5	Unknown	100	0.4988833	0.5874166	0.6372167	215.0065	4442.13330078125	14836.357421875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	41.74896	215.00655:5253 215.12732:329 216.00955:628 216.06708:384 217.04814:5840 217.09985:1779 218.03581:2501 219.01527:1181 219.11092:601	
6	Unknown	100	0.5486833	0.5874166	0.7368166	230.0464	2143.88745117188	4851.0234375	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	45.93725	230.04636:2711 231.05138:1220 231.10207:291 232.0298:586 233.00349:3166 234.00478:556 234.94247:263	
7	Unknown	100	0.5320833	0.5874166	0.6870167	239.0488	4775.08203125	16280.99609375	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	31.68283	238.93365:251 239.04875:5456 239.13159:676 240.02739:2381 241.02858:5514 242.02965:1300 243.03131:3129 243.15872:206 244.02391:1152	
8	Unknown	100	0.4988833	0.5874166	0.67595	383.0464	1619.45812988281	3095.64428710938	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	22.60463	382.87814:1175 382.9866:3977 383.04636:2364 383.97885:1388 384.05566:902 384.98425:2019 385.04761:1253 385.28006:235 385.97861:890 386.04669:439 386.96213:1349 387.94998:574	
9	Unknown	100	0.4656667	0.5874166	0.7478833	396.9576	1247.10717773438	2217.58178710938	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	23.93211	396.95889:1787 397.22025:659 397.97522:817 398.9632:1961 399.30927:637 399.9653:719 400.95691:2339 401.95615:555	
