PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
713	Unknown	1980	10.84713	10.99655	11.05188	235.1691	3626.865234375	27879.595703125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	37.80107	235.1691:3901 236.16238:691 237.11758:531 238.16467:629 239.16125:684 240.00809:215 240.14505:356	
714	Unknown	2017	11.00762	11.20128	11.22897	343.1601	3562.9404296875	14147.4775390625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	25.95816	343.15536:3663 343.26813:1457 344.15506:988 344.21863:909 344.28476:667 344.98343:328 345.25513:1304 346.24643:676 346.31268:345 347.19632:1511 347.25714:1273 347.31598:802	
715	Unknown	2019	11.10168	11.21237	11.24557	163.0767	3505.21142578125	18051.35546875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	21.89973	163.07671:3811 163.14294:416 164.07834:369 164.9171:337 165.00288:369 165.04895:539 165.08513:441 165.15907:211 167.07657:681	
716	Unknown	2020	10.91907	11.2179	11.42263	401.209	7767.60595703125	86948.234375	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	59.90413	401.20901:7828 402.22101:1915 402.35446:312 403.2355:949 403.29465:534 404.16083:252 404.2525:286 405.26099:700	
717	Unknown	2030	11.16808	11.27323	11.54438	249.1848	6824.2880859375	92615.71875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	64.08297	249.18484:6392 250.18988:1132 251.19633:860 252.08981:215 252.19366:258 253.20184:739 254.15446:263	
718	Unknown	2062	11.24557	11.4503	11.47797	374.3351	2057.6474609375	8868.8017578125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	17.45515	374.17688:317 374.33508:2205 375.25497:815 375.32373:644 376.30426:4541 377.13785:244 377.30432:1777 378.285:369 379.27219:715	
719	Unknown	2066	11.4171	11.47243	11.54992	417.3311	3627.82104492188	24426.71484375	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	16.7655	417.33105:3486 418.24612:411 418.33704:1199 419.26367:800 420.3273:1218 421.30063:608	
720	Unknown	2068	11.39497	11.48352	11.67165	376.305	4866.20703125	57267.96484375	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	26.92146	376.30502:5295 377.12753:385 377.29877:1703 378.25507:588 378.3187:468 379.27466:771 380.25668:400 380.33316:353 381.26978:1778	
721	Unknown	2070	11.20682	11.49458	11.51672	616.4627	29725.134765625	226412.859375	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	379.4743	616.46271:30861 616.75781:400 617.10339:396 617.46558:9497 618.46399:1999 618.99078:201 619.45105:352 620.57971:283 621.41785:1791	
722	Unknown	2073	11.29537	11.51118	11.84873	617.4656	10066.1455078125	172525.328125	null	[M+H]+	M + 1	isotope of 721	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	102.9326	617.46558:10685 617.75897:234 617.9422:242 618.46863:2701 619.33331:275 619.47028:557 619.54395:215 620.57812:291 621.41608:1697 621.58496:233 622.4245:712	
723	Unknown	2100	11.4669	11.66058	12.00367	402.2106	22900.46484375	350586.46875	null	[M+H]+	M + 1	isotope of 728	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	187.5331	402.21057:24596 402.43906:347 403.21896:4349 404.11017:281 404.21915:648 404.27258:485 405.27133:777 406.29807:289	
724	Unknown	2100	11.34517	11.66058	11.68272	403.219	4266.05029296875	21312.908203125	null	[M+H]+	M + 2	isotope of 728	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	38.67677	403.21896:4349 404.11017:281 404.21915:648 404.27258:485 405.27133:777 406.29807:289 407.28705:792	
725	Unknown	2101	11.50012	11.66612	11.86533	344.1588	5925.6044921875	80473.421875	null	[M+H]+	M + 1	isotope of 729	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	37.5189	344.15778:5902 344.22635:1652 344.29102:895 344.97595:227 345.20798:964 346.22876:422 346.96927:213 347.26279:917 348.25446:521 348.31125:346	
