,m/z,rt,peak area
0,100.0388,8.29,100654.60530598958
1,100.1108,2.45,187122.12353515625
2,100.1108,5.32,3281506.3605143228
3,102.1291,3.29,2170926.882486979
4,102.1291,3.53,2245760.435546875
5,114.0909,3.48,133287.69921875
6,114.1274,4.72,430475.75960286456
7,119.0846,10.03,239811.74287923175
8,120.0555,4.08,582678.3511962891
9,120.0555,4.22,673383.1591796875
10,120.9811,1.0,137755.02815755206
11,128.1079,4.82,129427.7705891927
12,128.1438,4.95,152320.46614583334
13,128.1438,5.32,412176.0472005208
14,130.1585,3.61,995491.1261393229
15,130.1585,3.74,857583.9049479165
16,130.1585,3.9,995491.1261393229
17,130.1585,5.32,668543.5034179689
18,130.1585,5.51,681096.896484375
19,134.0687,4.99,1301096.4676920571
20,135.0752,4.97,230991.02425130206
21,135.0752,5.09,242521.0498860677
22,140.1105,4.91,372888.46484375
23,140.1105,5.04,214985.7685546875
24,142.1597,4.7,152595.6914876302
25,142.1597,4.94,141409.65152994794
26,142.1597,5.35,14454124.163248697
27,142.1597,5.69,14574928.548014322
28,143.164,5.32,1343478.580891927
29,149.0602,9.65,154375.39729817706
30,151.0951,13.76,395560.23095703125
31,153.0477,16.67,417124.7786458334
32,153.0477,16.81,487707.2873128255
33,154.0858,3.59,100878.18676757812
34,155.1557,3.37,1260305.3968098958
35,157.9737,21.2,140152.09924316406
36,158.1887,4.7,309971.5126546223
37,159.0007,21.07,426799.1474202474
38,159.0007,21.21,197771.08923339844
39,163.0714,5.65,1449254.8670247393
40,163.0714,5.81,1462005.8069661458
41,163.0779,7.02,203711.60518391925
42,163.0779,11.59,894267.1335449218
43,163.0779,11.7,790349.6617024739
44,163.0779,11.82,891260.7265625
45,165.0862,4.99,2378885.2268880205
46,166.093,4.99,153177.9329427083
47,166.1395,0.72,207614.02954101562
48,166.1395,1.64,856487.2665608723
49,166.1395,1.8,826203.9952799478
50,166.1395,1.92,751389.6438802083
51,166.1395,2.04,856487.2665608723
52,167.0725,8.45,957147.9843749999
53,167.0725,8.63,966139.3945312499
54,167.0725,8.76,1014574.4782714843
55,167.1059,4.46,119237.22623697916
56,168.0779,8.46,910618.589070638
57,168.0779,8.63,918723.6165364583
58,168.0779,8.74,963727.2261962891
59,171.1512,5.47,1281286.8602701821
60,172.1329,4.51,329096.990641276
61,172.1329,4.63,325042.9308268229
62,173.9811,1.42,143962.3741861979
63,173.9811,22.32,146619.02026367188
64,173.9881,21.1,205578.32132975257
65,173.9881,21.47,161454.9466145833
66,174.0577,10.3,272313.6739095052
67,174.1831,5.53,541994.9065755208
68,174.1831,6.19,26775400.21988932
69,174.1831,6.56,26977911.343749996
70,175.1892,6.19,2696126.082031249
71,175.1892,6.44,2779340.958658854
72,177.1057,3.43,161131.6788736979
73,178.0931,6.68,773898.9792887368
74,178.0931,6.82,846235.9746093749
75,178.0931,6.93,886914.1874999999
76,179.0359,6.68,773898.9792887368
77,179.0359,6.82,846235.9746093749
78,179.0359,6.93,886914.1874999999
79,180.1205,3.34,2240919.2846679688
80,180.9799,0.62,2908351.2333984375
81,180.9799,21.05,342739.1842447916
82,180.9799,21.17,360317.68493652344
83,181.1248,3.34,165546.4886067708
84,182.0982,8.47,961541.6549479165
85,182.0982,8.62,988376.3848876951
86,182.0982,8.74,1045390.7670898438
87,182.12,10.32,3486368.6691894527
88,182.12,10.5,3987507.359049479
89,182.12,10.63,4205169.7158203125
90,182.1346,2.46,101396.33138020833
91,182.1929,4.83,1035684.4526367188
92,183.1208,10.29,378747.7086588542
93,183.1208,10.4,394637.9763590495
94,183.194,4.83,127386.54650878906
95,184.1344,8.3,1168341.058959961
96,184.1344,8.42,1324023.0103759766
97,184.208,5.35,2800723.703938802
98,184.208,5.61,2808793.26590983
99,185.0869,8.43,391935.99027506507
100,186.2157,5.24,220655.2607421875
101,186.2231,4.9,152228.7745768229
102,186.2231,5.32,4934121.966145834
103,186.2231,5.62,5670323.285766602
104,186.2231,5.79,5579000.063639323
105,186.2231,5.91,5670323.285766602
106,187.2239,5.32,599133.40234375
107,187.9969,0.64,150187.12064615884
108,188.0721,4.96,108153.50740559895
109,190.1446,4.68,234570.81884765625
110,190.1446,5.56,128089.64790852864
111,192.1401,7.15,530873.4678141276
112,192.1401,7.27,673016.2456461588
113,193.1341,6.44,733327.6127522786
114,193.1341,6.57,952368.5922037759
115,193.1418,4.23,642311.7407226562
116,193.1418,4.36,579821.6479492188
117,193.1418,4.49,642311.7407226562
118,195.0985,4.26,141237.83764648438
119,195.0985,4.99,7932851.6774088545
120,195.1063,4.33,120674.85380045572
121,195.1219,2.91,224454.22045898438
122,195.1219,5.62,142853.84977213544
123,195.1219,13.89,258547.44921875
124,195.1297,5.74,267881.0309244792
125,196.0999,4.99,400482.32804361975
126,196.1627,6.16,256903.09033203125
127,197.0041,21.13,101730.99556477864
128,197.0041,21.29,138470.82474772134
129,197.1144,4.92,210194.41650390622
130,197.9995,5.2,218858.59318033853
131,198.1024,3.91,120209.11490885417
132,198.1262,4.67,969706.5748697915
133,198.15,6.28,2216248.4311523438
134,198.15,6.4,1470548.994791667
135,198.15,6.52,2174578.4615885415
136,198.15,6.64,2065056.595052083
137,198.15,6.77,2277296.024739583
138,198.1738,7.08,357746.6858723958
139,198.1738,7.2,369478.5148111979
140,198.9999,21.12,259637.92252604163
141,199.0874,7.31,2925561.449869792
142,199.0874,7.53,3045237.391357422
143,199.0874,7.66,3128459.5037841797
144,199.1512,6.36,107303.78706868489
145,199.183,7.09,7063953.686197916
146,199.183,7.38,7342267.194661456
147,200.0213,0.61,959903.05859375
148,200.0213,21.05,641776.9254557291
149,200.0213,21.17,647520.8587239583
150,200.0934,7.32,196963.8590494792
151,200.1654,5.86,2059366.485677083
152,200.1654,5.97,2337048.369140625
153,200.1654,6.1,2504898.085571289
154,200.2375,4.64,3517122.3174641924
155,200.2375,4.83,3540519.635864258
156,201.1687,5.86,241669.965616862
157,201.2412,4.64,415869.1800130208
158,201.2412,4.75,442360.9705403645
159,202.2175,4.07,233835.80895996094
160,202.2175,5.43,656463.2196451823
161,202.2175,5.63,662327.9853515625
162,203.1092,6.08,126476.02469889322
163,204.1028,4.59,121847.32552083333
164,204.1354,7.05,195207.02770996094
165,205.0848,11.84,1460723.9407552083
166,205.0848,12.06,1309092.7054036458
167,205.0848,12.19,1436415.837890625
168,205.0848,12.3,1460723.9407552083
169,205.1669,5.24,1348498.866048177
170,207.0962,6.7,10778267.988118488
171,207.0962,7.14,1637128.8575846353
172,207.0962,7.26,1885611.5491536458
173,207.1045,7.02,196049.92919921875
174,207.1459,4.7,1338770.27734375
175,207.1459,4.83,2224761.3792317705
176,207.1542,5.61,225090.1214192708
177,208.1009,6.69,875306.1842447915
178,208.1009,6.81,984726.2620442708
179,208.1509,4.68,280954.09256998694
180,208.1509,4.81,391283.9943847656
181,209.1189,4.85,137594.5692138672
182,209.1357,3.61,246565.24739583328
183,209.1942,5.22,502131.88435872394
184,210.1251,8.47,2057203.4757486978
185,210.1251,8.67,2205301.92614746
186,210.1251,8.82,2245140.7371419263
187,210.1839,4.25,536098.5179036458
188,210.1839,10.47,1297561.5616455078
189,210.1839,10.59,1525112.7233072913
190,210.1839,10.74,1707698.2447102864
191,211.1192,5.16,202561.39469401038
192,211.1361,4.4,507096.1201171875
193,211.1361,5.01,188636.2516276042
194,211.1361,5.9,110593.91479492188
195,211.1868,10.44,190782.59195963544
196,212.118,4.27,15551359.626302082
197,212.1435,3.57,280331.94217936194
198,213.1045,6.04,632510.2594807942
199,213.1045,6.17,722662.0401611328
200,213.1045,6.77,342387.43534342444
201,213.1216,4.26,2343195.8793945312
202,213.1216,4.44,2383374.075805664
203,213.1557,5.42,338362.76302083326
204,214.087,6.56,396916.11083984375
205,214.1384,6.11,143221.76757812497
206,214.2498,4.72,38393175.62402344
207,214.387,4.72,1713590.093098958
208,214.9967,7.56,197620.03291829428
209,215.1257,4.3,280586.80647786456
210,215.2548,4.72,5975261.69921875
211,215.2548,4.94,5999613.167399089
212,216.0484,5.86,644019.130859375
213,216.0484,5.99,728072.7987874348
214,216.1435,4.87,167267.3020833333
215,216.1954,4.12,101083.7763671875
216,216.2559,4.72,328953.28889973956
217,217.0445,21.12,225502.5146484375
218,217.0445,21.24,250146.9258219401
219,217.1053,4.54,2492296.8037109375
220,218.115,4.55,244240.7021891276
221,218.1411,3.55,277039.8354492187
222,218.1673,5.01,262105.86376953122
223,219.0505,6.12,1187461.2395833333
224,219.0505,6.25,1372428.5467122395
225,219.1294,8.88,104712.38037109375
226,219.1469,7.54,3847032.4194335938
227,219.1469,7.69,4034440.2418619785
228,219.1469,7.81,4287757.7581380205
229,219.1732,9.72,113738.49072265625
230,219.182,9.57,171347.51464843747
231,221.1192,10.53,128851.35274251302
232,221.1369,3.86,322329.8583170573
233,221.1369,6.92,907883.9798177083
234,221.1546,7.18,166790.4805501302
235,221.1546,10.16,171353.9600016276
236,221.1635,6.64,170808.55045572916
237,221.1635,6.76,388003.3236083984
238,221.1635,8.29,1644910.1595052085
239,221.1635,8.41,1740475.0625
240,221.1635,8.54,1904753.5247802732
241,222.112,5.07,185374.79069010416
242,222.1476,5.84,105844.28780110677
243,222.1654,8.28,171072.5607096354
244,223.1182,7.91,807941.7443033854
245,223.1182,8.03,707635.2170817056
246,223.1182,8.15,807941.7443033854
247,223.1272,5.2,106043.30224609374
248,223.1361,6.93,349424.2724609375
249,223.1539,4.23,2652839.1853841143
250,223.1539,4.43,2666375.8062337236
251,224.129,8.49,4889312.526041667
252,224.129,8.8,5052616.463378906
253,224.1559,4.23,259094.48673502603
254,225.0453,7.37,109521.84375
255,225.1353,8.46,890993.9589029946
256,225.1353,8.61,916976.9716796874
257,225.1353,8.72,947206.1610514321
258,225.1443,5.6,177608.94384765625
259,225.1443,8.14,195433.2939453125
260,225.1984,8.38,7157168.490315754
261,225.1984,8.61,7485009.052734375
262,226.1281,8.42,583851.2939453125
263,226.1281,8.53,126831.6162109375
264,226.1462,4.64,151513.54292805988
265,226.1462,4.8,221280.94873046875
266,226.1643,3.65,100911.2041015625
267,226.2005,8.37,888247.3696289061
268,226.2005,8.52,1075620.8133951821
269,226.2005,8.64,1113950.0360107422
270,226.2186,11.09,372586.3180338541
271,227.0616,9.69,184492.12162272134
272,227.1252,4.22,1607289.5295003257
273,227.1252,4.38,1984924.073527018
274,227.1252,8.2,559678.7568359375
275,227.1343,8.4,118151.12426757812
276,227.2161,9.16,881865.7825520833
277,228.0446,8.33,110110.65694173177
278,228.1176,3.94,270615.1671549479
279,228.1268,4.22,124583.25553385416
280,228.218,9.16,181860.0211588542
281,228.218,9.29,199057.1573893229
282,228.2728,4.96,12577003.086588541
283,229.0686,7.89,215417.3447265625
284,229.1235,6.53,172654.83902994794
285,229.1235,6.75,109466.40698242188
286,229.1419,4.01,438640.49894205725
287,229.1877,7.84,20240809.377278645
288,229.1877,8.24,20354943.393554688
289,229.2702,4.95,3039516.1758219404
290,230.0603,6.07,916197.357096354
291,230.1891,7.84,1649025.0546875
292,230.1891,7.97,2182259.2065429688
293,230.1891,8.13,2219756.8334960938
294,230.2444,4.67,384530.6321614583
295,230.272,4.96,185544.02119954425
296,231.1579,4.88,377682.2174886068
297,232.168,7.8,453480.4146321614
298,232.168,7.92,579020.1632486979
299,232.2423,6.2,185563.1188151042
300,233.1171,10.61,194709.78930664062
301,233.1544,5.62,143186.79040527344
302,233.1544,7.49,461510.2052408854
303,233.1637,7.78,108549.11946614583
304,234.1357,4.55,1493401.5384114585
305,235.1399,4.53,212987.2830403646
306,235.1776,4.27,811578.5346679688
307,235.1776,4.94,1350679.2446695962
308,236.0729,6.12,3203833.0292154946
309,236.0729,6.25,3816899.701171875
310,236.0729,6.38,4049357.5074055986
311,236.1201,4.59,251404.93347167966
