,m/z,rt,peak area
0,100.1107,5.34,3278066.338419596
1,102.129,3.29,2300558.6837972
2,114.0908,3.49,130176.36372884116
3,114.1273,4.71,436014.35400390625
4,119.0655,4.23,234526.03613281247
5,119.0845,10.02,238182.4541015625
6,120.0554,4.07,675037.4880777994
7,120.981,1.01,125008.96805826822
8,128.1078,4.82,132021.9298095703
9,128.1437,4.94,138593.19303385416
10,128.1437,5.33,413439.9126790364
11,128.1437,5.45,419881.95458984375
12,130.1583,3.64,976851.9256184896
13,130.1583,5.32,678275.541015625
14,135.0751,4.97,240585.14379882812
15,140.1103,4.91,474860.3177083333
16,140.1103,5.05,598986.305501302
17,142.1595,4.71,156597.59704589844
18,142.1595,4.94,150381.7726236979
19,142.1595,5.35,14502330.220052082
20,142.1595,5.65,14555454.39050293
21,143.1639,5.33,1327537.4026285806
22,144.1753,5.65,130691.0830078125
23,146.0209,21.72,185388.15848795572
24,149.06,9.66,175808.24458821616
25,151.095,13.77,383819.2106119791
26,151.095,13.89,355578.2543945312
27,153.0475,16.66,429878.20410156244
28,153.0475,16.79,498500.9217122396
29,155.1556,3.42,1214077.308268229
30,155.1556,3.59,1238015.8452555337
31,158.1886,4.71,310518.5374348958
32,158.1886,4.83,318269.74959309894
33,159.0006,21.05,617830.8600260416
34,159.0006,21.17,639460.2540690105
35,163.0713,5.64,1410319.7451171875
36,163.0713,5.85,1517981.0520019527
37,163.0778,7.12,143285.18892415363
38,163.0778,11.55,956551.5642903645
39,163.0778,11.67,829184.2887369789
40,163.0778,11.79,897983.2324218749
41,163.0778,11.9,956551.5642903645
42,165.0861,4.99,2347943.9759114585
43,166.1394,0.74,149116.9817708333
44,166.1394,1.68,155020.98893229166
45,166.1394,1.81,581138.7620035807
46,166.1394,1.93,555362.7634684246
47,166.1394,2.04,581138.7620035807
48,167.0723,8.46,973380.8708902996
49,167.0723,8.63,1015504.9651692708
50,167.0723,8.75,1032752.0335693359
51,167.1057,4.45,103524.53011067708
52,168.0777,8.44,826038.3694661458
53,171.151,5.47,1366981.8874511719
54,172.1328,4.52,331614.92622884107
55,173.9879,21.13,218668.01717122394
56,173.9879,21.36,242751.82836914062
57,173.9879,21.59,181451.9736328125
58,174.0575,10.28,465426.4477132161
59,174.1829,5.54,531566.9921875
60,174.1829,6.19,26810624.403645832
61,174.1829,6.54,26893353.843343098
62,175.1891,6.19,2211930.6292317705
63,175.1891,6.33,2752972.387695313
64,177.1055,3.34,127718.93977864581
65,177.1055,3.46,213035.77799479166
66,178.0929,6.68,741852.4560546874
67,178.0929,6.79,854925.4811197916
68,178.0929,6.93,879256.3463541666
69,179.0357,6.68,741852.4560546874
70,179.0357,6.79,854925.4811197916
71,179.0357,6.93,879256.3463541666
72,180.1204,3.29,2223116.7972819004
73,180.9798,0.62,2863763.4683837886
74,180.9798,0.82,2890737.4777018228
75,180.9798,21.06,330912.18896484375
76,180.9798,21.18,360499.49698893225
