,m/z,rt,sn,score,peak area
127,255.0625,7.77,0.0,2,214049.14501953122
128,256.2999,5.74,5.7,2,402227.8776041667
129,256.9672,21.08,0.0,2,320963.4213867187
130,257.1625,9.8,0.0,1,231929.5693766276
131,257.2345,7.32,0.0,2,177252.5489908854
132,258.2139,5.9,0.0,3,182562.8655598958
133,258.2758,4.64,0.0,2,519278.6630859375
134,259.1762,11.2,1.701,2,123058.39534505206
135,262.2106,4.62,1.651,3,169235.63932291663
136,264.1792,4.61,0.0,1,147805.3948160807
137,265.132,6.52,5.085,3,338972.0436604817
138,265.132,6.95,0.0,3,304690.05037434894
139,266.1307,5.41,0.0,1,150484.4111328125
140,267.176,4.54,0.0,1,109143.6416015625
141,267.176,12.04,5.27,3,652344.3343912759
142,267.176,12.18,0.0,2,776195.917195638
143,267.1867,8.55,1.502,3,586721.6599934896
144,267.1867,8.69,0.811,1,590893.6025390625
145,268.2361,10.54,0.0,3,174480.9659830729
146,271.1487,4.9,1.96,3,9823792.536336262
147,272.1592,5.03,8.887,2,1035427.6596272788
148,272.1592,5.16,0.0,1,1101898.680501302
149,272.2027,8.08,0.0,3,104995.41861979166
150,272.9332,21.11,1.029,2,114377.35807291667
151,274.1038,5.9,5.792,3,420686.83382161456
152,276.1839,10.38,6.656,3,818551.169921875
153,276.1839,10.53,1.36,3,856311.8988444011
154,277.1023,6.19,3.011,2,207947.2591145833
155,277.1799,11.08,2.521,3,459542.9864908854
156,277.191,5.2,22.042,3,6215614.597656251
157,277.191,5.36,0.0,1,6522376.669433593
158,277.191,8.37,10.326,1,1603261.4381510415
159,277.191,8.49,2.546,1,1715244.8631184895
160,277.2021,7.62,7.614,1,981406.7246093749
161,277.2021,7.76,1.849,3,1049077.3174641926
162,278.1907,5.21,0.0,1,1102421.1798502603
163,278.1907,8.37,2.331,2,191509.73095703122
164,278.2018,7.62,0.0,3,125463.91451009113
165,278.2129,14.69,0.0,2,134221.65397135416
166,279.0934,8.17,0.0,1,122897.44075520831
167,279.1493,7.4,5.889,1,596372.9571940105
168,279.1493,7.52,1.413,2,633929.4318033853
169,279.1604,11.94,3.733,1,4584376.350911458
170,279.1604,12.25,2.006,3,5440144.387369792
171,279.1604,12.37,2.243,1,5861932.736979167
172,279.1604,12.49,2.119,3,6012938.586263021
173,279.1604,12.61,1.46,2,6277847.684244793
174,279.2163,8.35,0.0,2,296310.0148111979
175,280.1672,11.93,2.698,3,297508.1340738932
176,280.1672,12.07,1.024,3,833422.3767089844
177,280.2681,14.81,1.438,2,692617.7780761719
178,282.1578,4.69,3.167,2,181321.68839518228
179,282.1916,4.25,0.0,1,676084.6905924479
180,282.282,15.55,2.872,3,1966637.3237304688
181,282.282,15.68,2.124,2,2299225.9458007812
182,282.282,15.8,2.083,2,2791696.756510417
183,282.282,15.92,1.786,2,2994536.3339843745
184,282.282,16.04,1.536,1,3136884.4353841143
185,283.1527,5.77,2.786,3,191235.03975423175
186,283.1527,6.76,10.269,1,3574418.9108072915
187,283.1527,6.94,1.138,2,4113280.208129883
188,283.1527,7.07,2.413,1,4611498.592651367
189,283.1527,7.3,1.226,3,4630361.015625
190,283.1867,8.54,7.307,1,40200751.74519856
191,283.1867,8.84,2.596,3,45449170.45548502
192,283.1867,9.13,0.63,1,369471.3874511719
193,283.198,8.25,3.969,1,422866.6114908854
194,283.198,8.37,1.133,1,442144.4952799479
195,283.2773,15.55,1.644,2,168297.5872395833
196,283.2773,15.67,0.564,2,126888.47330729166
197,283.2773,15.79,0.634,1,187671.5875651042
198,283.334,8.54,0.0,1,1827687.456705729
199,284.1398,4.3,0.0,1,129619.95458984375
200,284.1398,5.09,2.354,1,171503.5655110677
