,m/z,rt,sn,score,peak area
127,230.0622,6.14,6.751,3,1291147.5556640625
128,230.0622,6.29,1.518,3,1496637.8198242188
129,230.1911,7.91,5.881,3,2483906.6730143228
130,230.1911,8.03,2.652,2,2825108.624023438
131,230.1911,8.15,0.0,1,3139355.4263102207
132,230.2463,4.69,0.0,1,468065.383219401
133,230.274,4.96,0.0,1,277318.9112955729
134,231.0675,6.12,0.0,2,160864.494140625
135,231.1876,7.89,0.0,2,111728.822265625
136,233.0259,21.69,0.933,3,112712.49104817708
137,234.1377,4.59,18.592,2,2233395.9339192705
138,234.1939,4.65,0.0,1,308986.74308268225
139,235.1702,11.02,2.676,1,246227.5978190104
140,235.1702,11.14,0.0,2,275320.4658203125
141,236.1127,4.64,2.809,2,397856.12361653644
142,236.1127,4.76,1.309,2,475313.9100341797
143,238.171,3.38,0.0,3,101840.17122395833
144,239.1256,7.17,1.734,1,257121.41955566406
145,239.2404,15.59,3.658,3,960661.3763020833
146,239.2404,15.71,2.385,1,1171779.069173177
147,240.0168,0.65,3.419,3,309057.88920084643
148,240.2377,15.59,2.053,3,126173.98518880208
149,240.2665,5.13,0.0,2,479373.9329427083
150,240.9884,0.62,10.111,1,674935.1658528645
151,240.9884,0.74,0.0,3,741741.5469563801
152,242.2836,5.25,0.0,3,87810369.92415364
153,242.2836,5.4,0.998,2,419994462.04687494
154,242.2836,5.76,0.025,1,420806661.80208325
155,242.4193,5.25,4.925,3,56183157.07682292
156,243.2838,5.35,1.266,3,74003506.75
157,243.2838,5.71,0.422,3,1246405.546875
158,243.4298,5.41,0.912,3,5291820.295410156
159,244.2296,5.25,0.0,1,335617.00830078125
160,244.2882,5.24,9.143,2,14293323.83203125
161,244.2882,5.36,2.48,2,11624169.830078123
162,244.2882,5.52,28.123,3,14293323.83203125
163,244.425,5.35,2.182,1,451919.1685384114
164,245.2967,5.32,2.274,2,494655.06917317706
165,245.2967,5.46,2.196,2,576328.4052734376
166,247.168,6.4,0.0,1,235951.30371093747
167,249.1832,11.33,2.612,2,283558.8172607422
168,249.1832,11.46,1.124,1,356221.4630533854
169,251.1645,7.9,0.0,1,189715.75537109375
170,251.1846,5.16,0.0,2,426859.2593587239
171,253.2122,12.23,0.618,1,1395116.609863281
172,253.2122,12.44,0.882,3,382851.3014322917
173,254.2169,12.28,0.0,1,258648.01285807288
174,255.0113,6.64,5.69,3,606256.6389567058
175,255.0113,6.75,0.0,1,652437.5561523436
176,256.228,7.16,0.0,3,136271.1144205729
177,256.2997,5.76,19.139,3,6780261.377604166
178,256.2997,5.95,4.541,1,7329749.909586588
179,256.2997,6.11,1.922,1,7342577.151855468
180,256.967,0.62,6.876,2,1451383.3671875002
181,256.967,0.75,2.946,2,1705486.6798502603
182,256.967,21.06,0.0,2,308371.2305908203
183,257.2344,7.17,10.988,3,2168782.3675130205
184,257.2344,7.31,1.949,2,2304051.139770508
185,257.2344,7.44,1.432,3,2451505.002970377
186,257.2652,5.43,0.0,2,151016.88167317706
187,257.3064,5.76,6.428,1,1085259.6679687498
188,257.3064,5.87,2.335,3,1238432.5799153647
189,258.0898,4.18,1.582,3,171867.90218098956
190,258.1517,9.84,2.522,3,215993.6231282552
191,258.2757,4.64,0.266,2,3652748.1835937495
192,258.2757,5.05,0.0,1,2335088.9677734366
193,259.2797,4.65,2.906,2,1405020.0743001301
194,259.2797,4.83,2.204,2,1431781.8175455728
195,259.2797,5.05,0.0,2,344331.7151692708
196,262.2104,4.58,0.0,1,161197.40995279944
197,267.1758,12.03,0.0,2,310421.4886067709
198,267.272,16.53,3.026,2,606878.4953613281
199,267.272,16.65,1.693,2,756286.8819986979
200,272.2352,12.24,0.606,3,335172.1725260416
201,272.2352,12.41,0.728,2,170580.7322591146
202,272.257,4.71,0.0,2,1717368.098795573
203,272.257,14.88,3.161,3,214551.91194661456
204,273.2389,12.67,0.0,1,138098.3075358073
205,273.2607,4.78,2.605,2,222399.92740885416
206,274.1036,5.92,14.959,3,6201248.799235025
207,274.1036,6.13,0.0,1,6744754.86376953
208,274.2791,9.96,3.502,3,794900.9554036459
209,274.2791,10.13,0.733,3,102743.37145996094
210,275.1032,5.92,9.984,2,955615.1953124999
211,275.1032,6.05,0.0,3,967697.605143229
212,275.1582,4.59,0.0,2,323678.8520914713
213,276.25,5.46,1.926,2,214410.21643066406
214,276.25,5.62,21.571,3,2709626.7102864585
215,276.25,5.86,0.0,2,158496.33548990884
216,276.261,5.79,0.0,2,438990.4078776041
217,277.1797,11.08,2.097,1,264256.6514892578
218,277.1797,11.2,2.11,3,503620.2396240234
219,277.1797,11.32,1.011,1,520745.1334635416
220,277.2462,5.62,3.985,3,391248.58430989576
221,278.2461,5.62,8.577,2,850740.0305582681
222,278.2461,5.76,0.771,3,855868.0830078124
223,280.167,11.94,2.527,1,367714.3649088541
224,280.167,12.13,3.509,1,1063930.3381347656
225,280.167,12.26,1.913,1,1292774.9310709636
226,280.2679,14.84,2.028,3,675972.1872151692
227,280.2679,14.99,1.92,2,722852.4469401041
228,280.2679,15.12,1.25,3,734792.6801757812
229,281.2449,13.86,2.704,1,1049844.1861979167
230,281.2449,13.98,1.804,2,1581533.2716471353
231,282.0109,0.62,11.42,1,585956.0426432291
232,282.2479,13.84,2.105,2,171274.29557291663
233,282.2817,15.56,2.545,2,1813615.0481770835
234,282.2817,15.7,1.83,3,2046789.2123209636
235,282.2817,15.81,1.556,2,2681631.5217285156
236,282.2817,15.94,1.871,3,3012633.4694010415
237,282.2817,16.06,1.676,2,3177432.8225911455
238,283.1752,3.73,0.0,1,118359.41129557292
239,283.1978,8.26,2.755,2,371764.1598307292
240,283.2091,8.38,1.568,1,116688.01888020831
241,283.2658,14.07,2.091,1,764560.6484375
242,283.2658,14.19,1.782,3,1065329.5849609375
243,283.2658,14.31,1.974,1,1242714.552734375
244,283.2658,14.44,1.768,2,1249914.238647461
245,283.2658,14.75,0.0,3,101570.97045898438
246,283.2771,15.56,1.12,3,162459.67114257812
247,283.2771,15.69,0.913,2,295797.7854003906
248,284.185,8.29,0.0,3,128328.43896484374
249,284.2987,16.19,2.201,3,1396101.7421875
250,284.2987,16.32,2.148,3,2253002.6826985674
251,284.2987,16.44,2.178,1,2609910.256835938
252,284.2987,16.57,0.0,3,2650587.6790771484
253,285.1757,13.53,2.23,3,226404.41569010416
254,285.3012,16.18,2.107,3,252844.52506510413
255,285.3012,16.31,0.0,2,413281.0452067057
256,286.25,8.13,1.17,3,786321.9054361979
257,286.25,8.26,2.702,1,705978.7653401692
258,286.25,8.41,1.37,2,786321.9054361979
259,288.1224,6.14,14.485,3,4516265.0126953125
260,288.1224,6.31,0.0,1,4925165.6350911455
261,288.1224,6.49,0.0,1,4926945.271606445
262,288.2492,12.31,1.14,3,203376.9446614583
263,288.2492,12.42,0.851,1,288982.9180501302
264,288.2492,12.54,1.395,3,293456.47607421875
265,288.2492,12.66,0.792,2,390202.4538574219
266,288.2492,12.79,0.435,1,254249.15445963544
267,288.2953,4.78,1.879,3,337348.8092447916
268,289.1268,6.26,0.222,2,126820.54227701822
269,289.173,9.84,0.0,3,221380.8592122396
270,290.1811,9.86,9.725,1,6036061.231079102
271,290.1811,9.98,2.051,3,6191233.699869791
272,290.1811,10.09,2.499,3,7074266.220336913
273,290.1811,10.22,2.386,3,7098150.009765623
274,290.1811,10.34,0.0,2,7152144.372599283
275,291.181,9.85,5.44,2,1008001.8809000651
276,291.181,9.98,1.449,3,1060759.1419270833
277,291.1926,11.09,2.955,3,249412.76220703125
278,291.2392,9.74,0.0,3,120155.72298177083
279,292.1727,9.86,6.575,1,1781876.9477539062
280,292.1727,9.98,1.138,3,1800204.7275390623
281,292.2428,4.95,0.0,3,170716.19482421875
282,293.1795,9.84,3.073,1,296820.83300781244
283,293.2146,12.25,0.615,1,483013.37988281244
284,293.2146,12.38,0.721,3,358474.97949218744
285,293.2146,12.55,0.964,2,125787.23453776039
286,294.2015,9.79,2.34,2,151583.02913411456
287,295.2153,10.58,2.421,3,148875.72526041666
