Average m/z,Average RT (min),Average sn,Average score,20181114_CoulterCreek_2,20181114_Crescent-Creek-May_2,20181114_SR518-Cal_1000mL_dil-to-160mL_3,20181114_SR520-Cal-in-DI_1000mL_dil-to-60mL_1,20181114_SR520-Cal-in-DI_400mL_2,20181114_SwanCreek-Dec_3
165.0877,5.15,inf,0.1,0.0,0.0,0.0,0.0,864847.25,0.0
166.14087,0.728,inf,0.47500002,513240.84,609275.44,0.0,0.0,260283.73,624526.9
166.14087,1.59,0.94425,0.32500002,879719.75,915389.44,0.0,0.0,811812.8,865492.44
166.14082,1.993,1.334,0.4,879719.75,915389.44,0.0,0.0,0.0,865492.44
166.14082,1.87,2.2306666,0.6,794951.0,837443.4,0.0,0.0,0.0,810385.1
166.14087,1.757,1.9972501,0.79999995,850160.25,897441.25,0.0,0.0,767131.06,830451.44
166.141,1.93,1.958,0.6,0.0,0.0,0.0,0.0,811812.8,0.0
169.0841,3.58,inf,1.0,0.0,0.0,0.0,0.0,144877.7,0.0
170.1289,16.917,1.2973334,0.8666666,0.0,201122.52,135077.62,0.0,104864.516,0.0
170.1288,19.1,0.875,0.1,0.0,111722.086,0.0,0.0,0.0,0.0
170.1288,16.04,1.152,1.0,0.0,180912.02,0.0,0.0,0.0,0.0
170.129,20.16,0.874,1.0,0.0,0.0,104958.34,0.0,0.0,0.0
170.129,19.94,0.905,1.0,0.0,0.0,108202.04,0.0,0.0,0.0
170.1561,3.68,2.008,0.6,0.0,0.0,0.0,139338.47,0.0,0.0
172.16885,9.608,inf,0.4,183585.88,179390.61,183409.95,210433.62,127911.93,194280.1
173.1634,7.47,inf,0.6,0.0,0.0,0.0,0.0,102767.04,0.0
173.9827,7.47,inf,0.6,0.0,0.0,0.0,0.0,102767.04,0.0
173.98276,9.605,inf,0.1,0.0,0.0,183409.95,210433.62,0.0,0.0
174.1498,5.86,inf,1.0,0.0,0.0,0.0,0.0,155520.1,0.0
174.1846,6.6,2.405,1.0,0.0,0.0,0.0,0.0,25346770.0,0.0
174.1846,5.53,inf,0.1,0.0,0.0,0.0,0.0,504770.0,0.0
174.18465,6.39,3.3915,0.8,0.0,0.0,0.0,5481112.5,25192034.0,0.0
174.18465,6.185,16.4665,0.6,0.0,0.0,0.0,5250226.5,23203426.0,0.0
174.1847,6.5,2.039,1.0,0.0,0.0,0.0,5594681.5,0.0,0.0
174.3031,6.18,inf,1.0,0.0,0.0,0.0,0.0,948333.6,0.0
175.1908,6.32,inf,0.55,0.0,0.0,0.0,495840.94,2637607.2,0.0
175.1908,6.46,inf,0.6,0.0,0.0,0.0,0.0,2745105.0,0.0
175.1908,6.175,6.2845,0.55,0.0,0.0,0.0,476544.56,2410358.2,0.0
177.086,6.92,0.254,0.6,0.0,0.0,0.0,0.0,1641707.9,0.0
177.086,7.19,1.575,0.6,0.0,0.0,0.0,0.0,272195.47,0.0
177.086,6.765,2.718,0.55,0.0,0.0,0.0,570018.2,1541278.8,0.0
177.1002,3.37,1.817,0.1,0.0,0.0,0.0,0.0,323113.03,0.0
179.03734,1.897,1.283,0.4,703538.9,265948.3,0.0,0.0,0.0,1003053.6
179.0373,2.015,1.6960001,0.55,681134.44,0.0,0.0,0.0,0.0,744812.0
179.0373,2.14,1.5945001,0.55,703538.9,0.0,0.0,0.0,0.0,1003053.6
180.1219,3.57,inf,0.6,0.0,0.0,0.0,0.0,0.0,2400130.0
180.12202,3.407,inf,0.56666666,2413558.0,2299978.2,0.0,0.0,2171573.8,0.0
180.1221,3.36,7.4245,0.8,0.0,0.0,318048.12,0.0,0.0,2373956.2
180.1365,3.75,inf,1.0,0.0,0.0,0.0,0.0,147434.03,0.0
180.98148,0.756,inf,0.64,1874548.4,1112246.4,1030285.06,0.0,2651071.2,1080324.9
180.98148,0.636,3.6341999,0.68,1463425.5,867110.94,864753.94,0.0,1898045.1,778941.75
180.9814,20.84,0.89,0.6,138764.94,0.0,0.0,0.0,0.0,0.0
180.9814,21.027,inf,0.8666666,125765.65,118540.52,0.0,0.0,0.0,132600.03
180.9816,0.7,0.426,0.6,0.0,0.0,0.0,159160.0,0.0,0.0
180.9816,19.98,1.02,0.6,0.0,0.0,0.0,114623.83,0.0,0.0
181.02484,0.635,3.8769999,0.55,0.0,533356.06,0.0,0.0,0.0,540889.56
181.02676,0.74,inf,0.67499995,0.0,648900.0,225727.53,210133.62,0.0,622573.7
181.02505,21.055,1.365,0.35000002,0.0,0.0,156504.06,158280.55,0.0,0.0
181.032,1.92,1.005,0.1,0.0,0.0,0.0,0.0,0.0,171487.88
181.0323,2.23,1.549,1.0,0.0,0.0,0.0,1134270.0,0.0,0.0
181.03233,1.865,1.154,0.1,0.0,0.0,785480.2,1134270.0,0.0,0.0
181.03233,1.995,1.8664999,0.55,0.0,0.0,648751.7,795508.9,0.0,0.0
181.03233,2.11,1.623,0.8,0.0,0.0,785480.2,1107580.0,0.0,0.0
181.0324,1.05,1.644,0.6,0.0,0.0,253029.55,0.0,0.0,0.0
181.06123,9.1,inf,0.8,0.0,0.0,257954.83,0.0,130832.3,0.0
181.0613,8.8,inf,0.6,0.0,0.0,142947.19,0.0,0.0,0.0
181.12628,3.36,inf,0.57500005,204798.12,212525.75,0.0,0.0,196870.72,205266.1
182.1361,2.43,inf,0.54999995,221022.48,229736.89,0.0,0.0,149503.75,211317.92
