,mz,assymetric,integration,sn,hw,ab,label
56,288.1216173527694,"[-0.060866662999999994, 0.293266649]",3531504.5133463535,0.0,362625.0,0.43,1
57,184.0470878754649,"[-0.038733330999999996, 0.05533333]",338631.12109375,2.085,389782.0,0.543,1
58,184.0470878754649,"[-0.171533323, 0.06639999599999999]",666504.4541015624,0.0,64888.0,1.004,1
59,214.3796666079844,"[-0.033199997999999994, 0.105133327]",2223589.375,0.0,897589.0,0.716,1
60,1349.908087117988,"[-0.060866662999999994, 0.13279999199999998]",733291.05078125,2.108,165651.0,0.653,1
61,1349.908087117988,"[-0.182599989, 0.127266659]",957336.9205729166,2.339,49298.0,1.119,1
62,1349.908087117988,"[-0.29879998199999996, 0.038733330999999996]",988714.8751627605,0.0,22994.0,2.088,1
63,560.5112783360643,"[-0.033199997999999994, 0.099599994]",229232.11971028647,0.968,82674.0,0.87,2
64,560.5112783360643,"[-0.022133332, 0.14386665799999998]",291129.6692708333,0.98,68311.0,0.856,2
65,217.1065687723926,"[-0.07746666199999999, 0.188133322]",3310261.0407714844,0.0,589768.0,0.44,1
66,217.1065687723926,"[-0.26559998399999996, 0.005533333]",3311881.7036132812,0.0,24598.0,10.134,1
67,371.37695456190437,"[-0.027666665, 0.15493332399999998]",328557.0478515625,2.124,66552.0,0.819,1
68,371.37695456190437,"[-0.15493332399999998, 0.049799997]",352555.0452473959,1.716,44352.0,1.049,1
69,283.2650448147018,"[-0.016599998999999997, 0.29879998199999996]",458779.97298177076,0.0,22163.0,1.151,1
70,283.2650448147018,"[-0.13279999199999998, 0.16046665699999998]",436968.5200195312,1.723,35545.0,0.791,1
71,283.2650448147018,"[-0.24899998499999998, 0.06639999599999999]",458779.97298177076,0.0,20517.0,1.244,1
72,293.1787013978573,"[-0.011066666, 0.26559998399999996]",345910.38643391925,0.0,21339.0,1.172,1
73,425.3085412252392,"[-0.033199997999999994, 0.14386665799999998]",295181.2659098307,2.466,72554.0,0.718,2
74,425.3085412252392,"[-0.14939999099999998, 0.038733330999999996]",306675.2913004557,0.0,42345.0,1.132,2
75,371.1987399629082,"[-0.05533333, 0.215799987]",746998.3580729166,2.845,84906.0,0.662,1
76,371.1987399629082,"[-0.171533323, 0.13833332499999998]",799827.2357584635,2.892,50691.0,0.909,1
77,371.1987399629082,"[-0.29879998199999996, 0.033199997999999994]",822049.857462565,0.0,20384.0,2.025,1
78,239.1249936906545,"[-0.016599998999999997, 0.07193332899999999]",201039.455078125,1.338,183207.0,0.775,3
79,187.13519142401833,"[-0.038733330999999996, 0.16599999]",423655.68375651044,2.148,71727.0,0.78,1
80,244.22891921932168,"[-0.044266664, 0.082999995]",281215.96484374994,0.0,146818.0,0.654,1
81,590.428369974916,"[-0.005533333, 0.11619999299999999]",135883.19173177084,1.158,56063.0,0.905,2
82,256.2683189831636,"[-0.05533333, 0.044266664]",261331.87471516925,0.76,195553.0,0.745,1
83,256.2683189831636,"[-0.07193332899999999, 0.022133332]",369484.4075520833,1.114,254812.0,0.907,1
84,256.2683189831636,"[-0.049799997, 0.210266654]",643018.8746744792,2.525,73221.0,0.718,1
85,256.2683189831636,"[-0.177066656, 0.12173332599999999]",694376.2067871094,1.971,44238.0,0.973,1
86,256.2683189831636,"[-0.304333315, 0.005533333]",707271.907430013,1.135,21645.0,1.883,1
87,310.22604063706,"[-0.022133332, 0.293266649]",355438.9593098959,1.236,20605.0,0.96,1
88,727.6092400873814,"[-0.033199997999999994, 0.082999995]",224885.83056640625,3.077,145881.0,0.632,1
89,727.6092400873814,"[-0.082999995, 0.282199983]",16514855.607421873,0.0,1586964.0,0.432,1
90,981.61400157526,"[-0.016599998999999997, 0.099599994]",129101.23958333333,1.53,67357.0,0.785,1
91,339.10148052399865,"[-0.027666665, 0.06639999599999999]",107862.19498697916,1.528,83815.0,0.805,1
92,475.2935734749225,"[-0.060866662999999994, 0.182599989]",927777.1926676432,2.75,130575.0,0.663,1
93,475.2935734749225,"[-0.188133322, 0.105133327]",1017814.3513997395,2.689,61187.0,1.07,1
94,475.2935734749225,"[-0.304333315, 0.022133332]",1054197.8266601562,0.0,20444.0,2.677,1
95,302.3005474400683,"[-0.005533333, 0.14386665799999998]",197642.5935872396,0.826,69439.0,0.706,3
96,182.1356694708825,"[-0.027666665, 0.099599994]",136559.2099609375,1.297,57706.0,0.808,1
97,691.542882376451,"[-0.044266664, 0.07746666199999999]",1260286.7342122395,1.513,618997.0,0.76,3
98,593.6014989647791,"[-0.005533333, 0.23239998599999998]",236487.25862630206,0.918,23313.0,0.991,3
99,444.3151067073298,"[-0.033199997999999994, 0.215799987]",365476.4835611978,1.415,34510.0,0.945,1
100,771.6128785501221,"[-0.005533333, 0.14386665799999998]",189568.40478515625,0.0,40619.0,1.157,1
101,521.5320895864471,"[-0.027666665, 0.171533323]",769608.0646972656,0.0,155718.0,0.689,1
102,322.29279445589003,"[-0.011066666, 0.16046665699999998]",226777.34667968747,1.42,45600.0,0.935,1
103,588.5420566279885,"[-0.011066666, 0.23793331899999998]",999989.4739583331,1.042,121761.0,0.733,2
104,698.4928641953396,"[-0.022133332, 0.099599994]",149368.37654622394,0.0,74404.0,0.75,1
105,393.2938581745572,"[-0.022133332, 0.32093331399999997]",447697.72719319665,2.309,21733.0,0.968,1
106,393.2938581745572,"[-0.204733321, 0.082999995]",408730.1508178711,1.819,27853.0,0.981,1
107,393.2938581745572,"[-0.343066646, 0.016599998999999997]",456104.42578125,0.0,9265.0,2.106,1
108,684.4297314330832,"[-0.049799997, 0.14386665799999998]",733352.0709635416,2.533,153303.0,0.706,1
109,684.4297314330832,"[-0.188133322, 0.13279999199999998]",922570.3822021484,2.777,41755.0,1.187,1
110,684.4297314330832,"[-0.32093331399999997, 0.044266664]",958516.6926676432,1.397,14094.0,2.822,1
111,413.37537034554964,"[-0.038733330999999996, 0.11619999299999999]",248964.13041178382,1.917,77737.0,0.738,3
112,413.37537034554964,"[-0.16046665699999998, 0.016599998999999997]",272787.5849202474,1.603,35477.0,1.357,3
113,285.29492900627116,"[-0.044266664, 0.060866662999999994]",260255.16308593747,2.196,217540.0,0.599,1
114,285.29492900627116,"[-0.171533323, 0.06639999599999999]",422660.398844401,1.855,28645.0,1.442,1
115,353.27232185213813,"[-0.044266664, 0.15493332399999998]",850797.9954020183,6.915,272301.0,0.436,1
116,353.27232185213813,"[-0.199199988, 0.188133322]",1035390.3862711588,2.211,21271.0,1.795,1
117,353.27232185213813,"[-0.315399981, 0.11066666]",1055805.8210449216,0.0,12407.0,2.594,1
118,392.2883336285454,"[-0.044266664, 0.088533328]",615569.6585083008,2.815,331006.0,0.583,1
119,392.2883336285454,"[-0.210266654, 0.16599999]",984666.4891153972,2.075,22869.0,1.683,1
120,392.2883336285454,"[-0.343066646, 0.088533328]",1020295.9659220378,1.659,13918.0,2.178,1
121,1020.7551632635491,"[-0.016599998999999997, 0.470333305]",621350.3099772136,0.975,9449.0,1.535,2
122,1020.7551632635491,"[-0.171533323, 0.304333315]",611803.524210612,2.037,20191.0,0.74,2
123,1020.7551632635491,"[-0.304333315, 0.182599989]",621350.3099772136,1.817,17605.0,0.824,2
124,1020.7551632635491,"[-0.005533333, 0.293266649]",194067.72198486328,1.149,13250.0,0.908,2
125,1063.687756091003,"[-0.038733330999999996, 0.060866662999999994]",148179.34580485025,3.672,151199.0,0.547,1
126,451.2557778456953,"[-0.044266664, 0.07193332899999999]",151180.40161132812,2.604,92049.0,0.673,3
127,351.22931369605436,"[-0.011066666, 0.11619999299999999]",124821.57112630208,1.484,35901.0,1.188,2
128,351.22931369605436,"[-0.044266664, 0.094066661]",211739.3058268229,3.047,98609.0,0.621,2
129,351.22931369605436,"[-0.16599999, 0.127266659]",319576.2041829427,1.13,15266.0,1.347,2
130,239.1299227631,"[-0.011066666, 0.13833332499999998]",131449.51538085938,1.162,27143.0,1.201,3
131,373.1715052454263,"[-0.022133332, 0.06639999599999999]",217918.10335286456,2.024,196830.0,0.782,3
132,587.4487678733188,"[-0.038733330999999996, 0.07746666199999999]",128859.45890299478,2.968,89467.0,0.59,2
133,548.370095286224,"[-0.049799997, 0.082999995]",745518.4257405598,3.36,425431.0,0.55,1
134,548.370095286224,"[-0.177066656, 0.16046665699999998]",1108414.4637044272,2.622,37099.0,1.451,1
135,548.370095286224,"[-0.337533313, 0.049799997]",1145680.6487019856,1.316,13484.0,3.134,1
136,412.38447881986787,"[-0.049799997, 0.088533328]",187545.45955403647,3.177,85573.0,0.634,1
137,412.38447881986787,"[-0.16599999, 0.005533333]",209795.3181966146,0.0,18582.0,2.123,1
138,412.38447881986787,"[-0.060866662999999994, 0.07746666199999999]",319273.34781901044,3.949,162931.0,0.567,1
139,412.38447881986787,"[-0.182599989, 0.022133332]",379174.5126953125,1.21,22137.0,2.261,1
140,1200.789744560974,"[-0.044266664, 0.13279999199999998]",547589.5872395833,4.721,186055.0,0.519,1
141,1200.789744560974,"[-0.16046665699999998, 0.07193332899999999]",607312.6393839518,2.77,36566.0,1.702,1
142,603.5256239908969,"[-0.005533333, 0.27666664999999996]",292102.3080240885,0.0,16057.0,1.264,1
143,450.3361727669619,"[-0.060866662999999994, 0.11066666]",1101852.305013021,4.11,430228.0,0.482,1
144,450.3361727669619,"[-0.204733321, 0.177066656]",1649213.6844075518,2.92,47035.0,1.331,1
145,450.3361727669619,"[-0.337533313, 0.12173332599999999]",1725575.0608723958,2.338,23113.0,1.959,1
146,450.3361727669619,"[-0.459266639, 0.082999995]",1786274.911356608,1.242,8699.0,3.864,1
147,561.442825362348,"[-0.033199997999999994, 0.337533313]",368717.7150065103,1.84,16692.0,0.889,2
148,561.442825362348,"[-0.15493332399999998, 0.07746666199999999]",241816.8330485026,1.547,43060.0,0.575,2
149,561.442825362348,"[-0.271133317, 0.099599994]",368717.7150065103,1.923,17443.0,0.851,2
150,442.3381845094694,"[-0.022133332, 0.326466647]",377301.8178710937,0.0,12082.0,1.422,1
151,442.3381845094694,"[-0.14386665799999998, 0.16599999]",348849.9049479166,2.349,30732.0,0.654,1
152,442.3381845094694,"[-0.260066651, 0.088533328]",377301.8178710937,0.0,16208.0,1.06,1
153,217.11972842182166,"[-0.049799997, 0.060866662999999994]",180822.64697265625,2.223,122960.0,0.664,1
154,217.11972842182166,"[-0.171533323, 0.038733330999999996]",260298.37976074216,1.201,20017.0,1.627,1
155,360.3222659961944,"[-0.033199997999999994, 0.06639999599999999]",119180.98567708333,3.307,104110.0,0.639,1
156,360.3222659961944,"[-0.049799997, 0.060866662999999994]",549288.5177001953,2.675,427482.0,0.581,1
157,360.3222659961944,"[-0.182599989, 0.204733321]",961768.4875284832,2.575,23961.0,1.48,1
158,360.3222659961944,"[-0.315399981, 0.094066661]",976022.7762654622,2.059,16208.0,1.987,1
159,647.3629404895429,"[-0.033199997999999994, 0.14386665799999998]",234880.22611490882,2.049,52401.0,0.791,1
160,647.3629404895429,"[-0.15493332399999998, 0.082999995]",276004.98738606775,1.988,25876.0,1.043,1
161,372.3216604015179,"[-0.044266664, 0.088533328]",200357.45581054688,2.753,108525.0,0.579,2
162,372.3216604015179,"[-0.16046665699999998, 0.044266664]",257327.83178710938,1.523,23700.0,1.433,2
163,341.2310804666542,"[-0.07193332899999999, 0.199199988]",3167679.0686848955,6.176,480908.0,0.496,1
164,341.2310804666542,"[-0.215799987, 0.094066661]",3309065.623942057,2.789,153030.0,1.246,1
165,341.2310804666542,"[-0.33199998, 0.215799987]",3827777.1150716147,2.171,28693.0,2.46,1
166,341.2310804666542,"[-0.46479997199999995, 0.127266659]",3881865.785807292,1.898,18068.0,3.391,1
167,341.2310804666542,"[-0.580999965, 0.06639999599999999]",3926640.372233073,1.992,9541.0,5.434,1
168,256.9613220617244,"[-0.05533333, 0.07193332899999999]",310164.5862630208,3.613,172350.0,0.615,1
169,256.9613220617244,"[-0.171533323, 0.005533333]",359738.4841105143,1.255,23446.0,2.708,1
170,429.3684070198935,"[-0.049799997, 0.07746666199999999]",618262.9999999999,1.971,364882.0,0.579,1
171,429.3684070198935,"[-0.188133322, 0.14386665799999998]",1117063.4718017578,2.518,51296.0,1.093,1
172,429.3684070198935,"[-0.304333315, 0.13833332499999998]",1215965.0671386719,1.887,16545.0,2.075,1
173,429.3684070198935,"[-0.42606664099999997, 0.088533328]",1262397.01961263,1.263,8228.0,3.206,1
174,502.3776699007213,"[-0.016599998999999997, 0.23239998599999998]",265015.00602213544,1.599,19977.0,1.184,1
175,502.3776699007213,"[-0.13279999199999998, 0.11066666]",262792.9815673828,2.17,27735.0,0.884,1
176,1096.037371848555,"[-0.049799997, 0.105133327]",325730.96860758465,6.628,156173.0,0.481,3
177,1096.037371848555,"[-0.16599999, 0.016599998999999997]",344589.89152018225,0.0,19992.0,2.86,3
178,723.5899538866463,"[-0.011066666, 0.082999995]",185158.2063802083,0.999,119421.0,0.97,2
179,421.23702938647835,"[-0.06639999599999999, 0.182599989]",1889986.1930338542,14.518,462405.0,0.365,1
180,421.23702938647835,"[-0.24899998499999998, 0.199199988]",2114518.9000651045,2.333,21635.0,2.692,1
181,421.23702938647835,"[-0.37073331099999995, 0.12173332599999999]",2145613.0694173183,1.97,12500.0,3.916,1
182,710.5115721216002,"[-0.05533333, 0.082999995]",133661.0198567708,2.027,52884.0,0.731,3
183,492.3907304561212,"[-0.011066666, 0.365199978]",859326.231648763,1.233,19301.0,1.74,2
184,492.3907304561212,"[-0.127266659, 0.16046665699999998]",731926.6468505859,2.039,69264.0,0.706,2
185,492.3907304561212,"[-0.254533318, 0.11066666]",846381.2438557942,2.176,35092.0,1.001,2
186,383.2921830525077,"[-0.049799997, 0.11066666]",311586.95312499994,0.0,88745.0,0.754,3
187,610.6159885968112,"[-0.022133332, 0.11619999299999999]",113621.2041829427,0.0,39641.0,0.829,3
188,575.4943725715915,"[-0.011066666, 0.14939999099999998]",130542.98730468749,0.919,26926.0,1.042,3
189,565.4318653244413,"[-0.033199997999999994, 0.105133327]",203117.43050130206,4.459,106144.0,0.553,1
190,272.1530051255799,"[-0.044266664, 0.06639999599999999]",231428.83182779947,4.082,166297.0,0.629,1
191,388.3384746846039,"[-0.044266664, 0.05533333]",129999.90462239583,2.234,110039.0,0.659,3
192,388.3384746846039,"[-0.171533323, 0.016599998999999997]",194918.53326416016,0.0,19615.0,1.554,3
193,768.6099800349533,"[-0.005533333, 1.665533233]",1696474.8639322915,0.796,2337.0,1.438,3
194,768.6099800349533,"[-1.2339332589999998, 0.365199978]",1634585.7265624998,1.65,5774.0,0.613,3
195,768.6099800349533,"[-1.4441999129999998, 0.22686665299999997]",1696474.8639322915,1.674,4912.0,0.684,3
196,171.148859898692,"[-0.027666665, 0.07193332899999999]",131937.77982584634,2.573,103081.0,0.714,1
197,334.31388017986563,"[-0.044266664, 0.088533328]",258161.57566324866,5.697,161283.0,0.502,1
198,590.4169237706755,"[-0.022133332, 0.16599999]",171783.67838541666,1.32,23949.0,1.121,1
199,622.6022527075137,"[-0.005533333, 0.16046665699999998]",127181.3517252604,1.121,21210.0,1.204,3
200,506.41272927691864,"[-0.082999995, 0.027666665]",266444.8528645833,0.783,175819.0,0.685,2
201,506.41272927691864,"[-0.07193332899999999, 0.12173332599999999]",504551.8336588541,0.715,91783.0,0.811,2
202,506.41272927691864,"[-0.193666655, 0.06639999599999999]",573241.7140299479,0.323,30887.0,1.518,2
203,500.3722129178449,"[-0.016599998999999997, 0.348599979]",398793.2244873047,0.0,11489.0,1.44,1
204,500.3722129178449,"[-0.13833332499999998, 0.16046665699999998]",352203.3263346354,2.012,29667.0,0.736,1
205,500.3722129178449,"[-0.260066651, 0.105133327]",398793.2244873047,0.0,16728.0,0.989,1
206,1238.844185928387,"[-0.038733330999999996, 0.088533328]",172227.0244140625,3.3,98879.0,0.595,1
207,457.32488502168,"[-0.060866662999999994, 0.088533328]",417737.2639973959,1.924,158611.0,0.653,1
208,457.32488502168,"[-0.188133322, 0.127266659]",676480.6821289064,2.465,38381.0,0.98,1
209,457.32488502168,"[-0.30986664799999997, 0.14939999099999998]",787278.6249186198,1.616,11461.0,1.802,1
210,367.3512327843303,"[-0.05533333, 0.07746666199999999]",718679.1360677083,3.3,429952.0,0.524,1
211,367.3512327843303,"[-0.171533323, 0.044266664]",933491.0343424478,2.196,79568.0,1.394,1
212,367.3512327843303,"[-0.293266649, 0.11619999299999999]",1135036.265279134,0.0,16460.0,2.276,1
213,1197.815535022435,"[-0.033199997999999994, 0.060866662999999994]",104893.95312499999,2.898,101963.0,0.643,3
214,1223.969271027529,"[-0.05533333, 0.07746666199999999]",273666.7163492838,2.944,136443.0,0.629,1
215,1223.969271027529,"[-0.177066656, 0.049799997]",351807.76253255206,0.0,21509.0,1.758,1
216,976.6602776507556,"[-0.044266664, 0.099599994]",282681.8822428385,5.133,150712.0,0.501,1
217,976.6602776507556,"[-0.171533323, 0.022133332]",317451.1218261719,0.0,21812.0,2.147,1
218,976.6602776507556,"[-0.049799997, 0.099599994]",563766.7333984375,4.992,294236.0,0.475,1
219,976.6602776507556,"[-0.177066656, 0.05533333]",661450.2457885742,2.575,33485.0,2.024,1
220,297.2229898408369,"[-0.038733330999999996, 0.105133327]",564827.060546875,2.294,198788.0,0.76,1
221,297.2229898408369,"[-0.177066656, 0.099599994]",793818.7794596353,1.932,42964.0,1.336,1
222,297.2229898408369,"[-0.29879998199999996, 0.28773331599999996]",1066214.3009236653,1.796,10271.0,1.67,1
223,297.2229898408369,"[-0.448199973, 0.13279999199999998]",1061035.6519368489,1.885,10879.0,1.599,1
224,297.2229898408369,"[-0.569933299, 0.016599998999999997]",1066214.3009236653,1.012,5787.0,2.963,1
225,212.1151763153315,"[-0.049799997, 0.07193332899999999]",659227.9270019531,4.597,412497.0,0.597,2
226,663.6710357745551,"[-0.049799997, 0.105133327]",4281642.235026041,0.0,1569586.0,0.629,1
227,653.659715040141,"[-0.011066666, 0.326466647]",604137.9047851564,0.667,11785.0,2.49,2
228,653.659715040141,"[-0.13279999199999998, 0.11619999299999999]",498957.80305989576,2.228,67531.0,0.659,2
229,653.659715040141,"[-0.24899998499999998, 0.088533328]",604137.9047851564,1.324,23371.0,1.255,2
230,371.3103417283595,"[-0.05533333, 0.06639999599999999]",736582.4760335286,2.808,513433.0,0.536,2
231,371.3103417283595,"[-0.171533323, 0.14939999099999998]",1236193.7197672524,1.972,54208.0,1.225,2
232,371.3103417283595,"[-0.005533333, 0.171533323]",133493.9277750651,0.838,35231.0,0.669,2
233,429.29971494411535,"[-0.011066666, 0.14386665799999998]",119683.71618652344,0.985,40549.0,0.68,3
234,369.2220875779507,"[-0.049799997, 0.07193332899999999]",208833.27530924478,3.499,133161.0,0.586,1
235,369.2220875779507,"[-0.16599999, 0.005533333]",245894.4475097656,0.0,21811.0,2.12,1
236,475.3033706793895,"[-0.049799997, 0.171533323]",2041290.7687581377,7.283,520013.0,0.443,1
237,475.3033706793895,"[-0.177066656, 0.16046665699999998]",2340789.3222656245,2.486,77004.0,1.476,1
238,475.3033706793895,"[-0.30986664799999997, 0.12173332599999999]",2490271.2959391274,2.55,30887.0,2.395,1
239,475.3033706793895,"[-0.431599974, 0.22133332]",2646650.3711344404,1.538,8570.0,4.008,1
240,354.2770211500709,"[-0.027666665, 0.06639999599999999]",130489.90087890625,3.17,128852.0,0.633,3
241,299.1911098635955,"[-0.038733330999999996, 0.088533328]",231660.2958984375,3.18,125106.0,0.633,1
242,299.1911098635955,"[-0.16599999, 0.038733330999999996]",289523.178141276,1.287,20994.0,1.821,1
243,444.3064930943689,"[-0.038733330999999996, 0.088533328]",166685.12662760416,0.0,73830.0,0.771,3
244,251.1890970384851,"[-0.005533333, 0.24899998499999998]",432262.77577718097,0.802,14490.0,2.548,1
245,532.4191237375413,"[-0.049799997, 0.14386665799999998]",664286.2659505208,7.109,229900.0,0.426,1
246,532.4191237375413,"[-0.193666655, 0.12173332599999999]",776834.3299967448,0.0,20494.0,2.108,1
247,450.28213674916884,"[-0.022133332, 0.094066661]",119827.0996907552,2.38,63206.0,0.777,3
248,800.5210668149722,"[-0.049799997, 0.07746666199999999]",343364.0667317708,3.64,210745.0,0.557,1
249,800.5210668149722,"[-0.199199988, 0.06639999599999999]",462960.0526123047,0.0,17548.0,2.069,1
250,1221.963646596817,"[-0.060866662999999994, 0.16046665699999998]",943260.7055867512,5.845,225054.0,0.473,1
251,1221.963646596817,"[-0.204733321, 0.07193332899999999]",1015610.5283406575,2.389,38505.0,1.907,1
252,757.6518277188043,"[-0.027666665, 0.60866663]",833610.4806315104,1.578,7843.0,1.452,1
253,757.6518277188043,"[-0.14386665799999998, 0.204733321]",600405.8767903645,2.417,42897.0,0.637,1
254,757.6518277188043,"[-0.26559998399999996, 0.16599999]",681827.7284342449,1.765,22232.0,0.911,1
255,757.6518277188043,"[-0.40393330899999996, 0.23239998599999998]",833610.4806315104,1.722,8557.0,1.331,1
256,361.33256188940453,"[-0.033199997999999994, 0.05533333]",123368.29650878906,2.495,130269.0,0.669,3
257,997.5860868816384,"[-0.038733330999999996, 0.094066661]",241793.20564778644,3.166,128207.0,0.592,1
258,997.5860868816384,"[-0.15493332399999998, 0.044266664]",293575.4355265299,0.0,24589.0,1.665,1
259,355.2987891754834,"[-0.005533333, 0.210266654]",195427.62516276038,0.651,20369.0,1.14,3
260,355.2987891754834,"[-0.011066666, 0.16599999]",147173.87426757812,0.855,31358.0,0.828,3
261,355.2987891754834,"[-0.005533333, 0.15493332399999998]",120854.55436197916,0.936,35235.0,0.737,3
262,725.6188042458062,"[-0.049799997, 0.11066666]",139417.45833333334,2.094,41361.0,0.724,3
263,540.5303046697123,"[-0.027666665, 0.07746666199999999]",102553.33764648438,2.032,76120.0,0.674,3
264,446.3906789896267,"[-0.038733330999999996, 0.06639999599999999]",113939.89973958333,3.05,87381.0,0.653,3
