,mz,a1,a2,integration,sn,hw,ab,label
0,196.9973501,-0.005533333,0.199199988,296175.7832,0.892,36466,1.072,3
1,196.9973501,-0.011066666,0.105133327,140804.3241,0.915,67609,0.853,3
2,420.97569050000004,-0.049799997,0.13833332499999998,697342.7939,0.0,195821,0.557,1
3,483.3457937,-0.022133332,0.12173332599999999,179794.6886,0.0,59442,0.809,1
4,701.4045884999999,-0.011066666,0.171533323,201843.8047,1.212,39443,0.8490000000000001,1
5,560.5785424,-0.038733330999999996,0.15493332399999998,1166191.0590000001,0.0,308356,0.5579999999999999,1
6,376.3416337,-0.05533333,0.14386665799999998,9466836.904,2.161,1911141,0.691,1
7,376.3416337,-0.171533323,0.082999995,10956518.46,2.8,989168,0.946,1
8,376.3416337,-0.29879998199999996,0.07193332899999999,12025781.47,5.492000000000001,158149,3.0610000000000004,1
9,226.1927503,-0.005533333,0.099599994,105203.0371,0.0,53831,0.978,1
10,319.1881132,-0.005533333,0.23793331899999998,254047.3745,1.1159999999999999,24199,0.98,1
11,359.2067986,-0.005533333,0.14939999099999998,179765.5109,0.987,35683,1.161,3
12,272.23449469999997,-0.005533333,0.182599989,207628.2784,1.033,30594,1.061,1
13,529.5621326,-0.038733330999999996,0.099599994,282867.015,0.0,130789,0.625,1
14,316.13862919999997,-0.038733330999999996,0.182599989,669756.7683,0.0,87039,0.8690000000000001,1
15,420.3531197,-0.016599998999999997,0.082999995,112649.5365,1.35,77889,0.807,3
16,273.1725752,-0.005533333,0.16046665699999998,452293.8492,0.278,35140,2.585,1
17,790.5765472999999,-0.027666665,0.16046665699999998,219834.5146,1.114,35138,0.978,1
18,383.20763480000005,-0.016599998999999997,0.14386665799999998,299115.1953,1.5830000000000002,82210,0.782,3
19,396.31775330000005,-0.044266664,0.177066656,1185549.9409999999,2.3680000000000003,211163,0.634,1
20,396.31775330000005,-0.193666655,0.12173332599999999,1407378.701,0.0,59546,1.315,1
21,534.3496074,-0.022133332,0.127266659,174597.3327,0.0,55924,0.774,1
22,230.1904853,-0.082999995,0.16599999,2719236.13,2.8510000000000004,395493,0.614,1
23,230.1904853,-0.204733321,0.193666655,3313019.44,5.756,125931,0.917,1
24,230.1904853,-0.398399976,0.044266664,3369330.34,0.0,20179,4.715,1
25,214.25107999999997,-0.06639999599999999,0.315399981,51184192.09,101.25399999999999,5481407,0.354,1
26,338.3427585,-0.07193332899999999,0.337533313,5911378.017999999,18.546,485626,0.402,1
27,338.3427585,-0.354133312,0.127266659,6027764.696,2.032,31861,4.5169999999999995,1
28,338.3427585,-0.481399971,0.11619999299999999,6167669.337,1.3159999999999998,13875,6.8870000000000005,1
29,569.0049101,-0.022133332,0.088533328,292457.5255,0.0,267614,0.494,1
30,670.4611652000001,-0.038733330999999996,0.094066661,261403.4733,2.039,117104,0.7,1
31,670.4611652000001,-0.15493332399999998,0.022133332,313846.3492,0.0,38910,1.4240000000000002,1
32,416.1872664,-0.05533333,0.182599989,568678.0928,2.773,85332,0.6509999999999999,2
33,416.1872664,-0.044266664,0.038733330999999996,171264.1784,1.1179999999999999,186999,0.736,2
34,416.1872664,-0.05533333,0.088533328,197644.392,0.626,61719,0.856,2
35,293.1904285,-0.016599998999999997,0.13833332499999998,173299.9834,0.0,39792,1.004,1
36,298.34841339999997,-0.044266664,0.16046665699999998,364426.4447,1.9780000000000002,64914,0.741,1
37,298.34841339999997,-0.16599999,0.05533333,382989.5385,1.6540000000000001,38544,1.122,1
38,414.957198,-0.033199997999999994,0.07193332899999999,198116.1506,0.0,160069,0.62,1
39,201.2423395,-0.05533333,0.14939999099999998,609143.2687,0.0,136265,0.59,1
40,201.2423395,-0.199199988,0.011066666,613795.6809,0.0,27001,2.845,1
41,288.29453870000003,-0.07746666199999999,0.07746666199999999,396627.4541,2.23,140057,0.653,1
42,496.414763,-0.027666665,0.11066666,157569.0734,1.236,48920,0.9309999999999999,1
43,368.4178503,-0.022133332,0.07746666199999999,136605.8031,0.961,86660,0.879,2
44,267.17508250000003,-0.038733330999999996,0.15493332399999998,283704.591,1.982,59523,0.703,1
45,267.17508250000003,-0.16046665699999998,0.044266664,294487.4629,0.0,33970,1.1440000000000001,1
46,624.6348243,-0.082999995,0.22686665299999997,7126087.66,2.0980000000000003,590682,0.695,1
47,624.6348243,-0.210266654,0.13279999199999998,7639860.54,1.755,403264,0.8909999999999999,1
48,624.6348243,-0.005533333,0.182599989,1804925.292,0.8640000000000001,419094,0.6729999999999999,1
49,624.6348243,-0.016599998999999997,0.105133327,469087.7349,0.7290000000000001,250220,0.7,1
50,280.2671418,-0.038733330999999996,0.376266644,683323.6605,1.5530000000000002,19394,1.1320000000000001,1
51,280.2671418,-0.16599999,0.22133332,653895.5104,2.1,33214,0.726,1
52,280.2671418,-0.293266649,0.12173332599999999,683323.6605,1.834,22916,0.958,1
53,354.2413787,-0.016599998999999997,0.11066666,160427.2344,0.718,48472,1.131,3
54,297.9906171,-0.027666665,0.082999995,248965.9196,2.021,155652,0.723,1
55,297.9906171,-0.14386665799999998,0.005533333,297800.807,0.0,40576,1.819,1
56,288.1216174,-0.060866662999999994,0.293266649,3531504.5130000003,0.0,362625,0.43,1
57,184.0470879,-0.038733330999999996,0.05533333,338631.1211,2.085,389782,0.5429999999999999,1
58,184.0470879,-0.171533323,0.06639999599999999,666504.4541,0.0,64888,1.004,1
59,214.37966659999998,-0.033199997999999994,0.105133327,2223589.375,0.0,897589,0.716,1
60,1349.908087,-0.060866662999999994,0.13279999199999998,733291.0508,2.108,165651,0.653,1
61,1349.908087,-0.182599989,0.127266659,957336.9206,2.339,49298,1.119,1
62,1349.908087,-0.29879998199999996,0.038733330999999996,988714.8752,0.0,22994,2.088,1
63,560.5112783,-0.033199997999999994,0.099599994,229232.1197,0.968,82674,0.87,2
64,560.5112783,-0.022133332,0.14386665799999998,291129.6693,0.98,68311,0.856,2
65,217.10656880000002,-0.07746666199999999,0.188133322,3310261.041,0.0,589768,0.44,1
66,217.10656880000002,-0.26559998399999996,0.005533333,3311881.704,0.0,24598,10.134,1
67,371.37695460000003,-0.027666665,0.15493332399999998,328557.0479,2.124,66552,0.8190000000000001,1
68,371.37695460000003,-0.15493332399999998,0.049799997,352555.0452,1.716,44352,1.0490000000000002,1
69,283.26504480000006,-0.016599998999999997,0.29879998199999996,458779.973,0.0,22163,1.151,1
70,283.26504480000006,-0.13279999199999998,0.16046665699999998,436968.52,1.723,35545,0.7909999999999999,1
71,283.26504480000006,-0.24899998499999998,0.06639999599999999,458779.973,0.0,20517,1.244,1
72,293.1787014,-0.011066666,0.26559998399999996,345910.3864,0.0,21339,1.172,1
73,425.3085412,-0.033199997999999994,0.14386665799999998,295181.2659,2.4659999999999997,72554,0.718,2
74,425.3085412,-0.14939999099999998,0.038733330999999996,306675.2913,0.0,42345,1.1320000000000001,2
75,371.19874,-0.05533333,0.215799987,746998.3581,2.845,84906,0.662,1
76,371.19874,-0.171533323,0.13833332499999998,799827.2358,2.892,50691,0.909,1
77,371.19874,-0.29879998199999996,0.033199997999999994,822049.8575,0.0,20384,2.025,1
78,239.1249937,-0.016599998999999997,0.07193332899999999,201039.4551,1.338,183207,0.775,3
79,187.1351914,-0.038733330999999996,0.16599999,423655.6838,2.148,71727,0.78,1
80,244.22891919999998,-0.044266664,0.082999995,281215.9648,0.0,146818,0.654,1
81,590.42837,-0.005533333,0.11619999299999999,135883.1917,1.158,56063,0.905,2
82,256.268319,-0.05533333,0.044266664,261331.8747,0.76,195553,0.745,1
83,256.268319,-0.07193332899999999,0.022133332,369484.4076,1.114,254812,0.907,1
84,256.268319,-0.049799997,0.210266654,643018.8747,2.525,73221,0.718,1
