,mz,peak width in min,half intensity width in min,left width,right width,assymetric factor,integration,sn,hw,ab,peak height,ma,mb,broad rate,skewness,variance,label
0,196.99735007900767,0.20473332100000002,0.2045698507629058,0.0055333330000000005,0.199199988,36.0,296175.7832031249,0.892,36466.0,1.072,7465.88720703125,1349256.805442805,18497.94202777499,1367754.7474705796,0.01370972668298253,2.191392717880126e-05,3
1,196.99735007900767,0.116199993,0.11673841833789694,0.011066666000000001,0.105133327,9.5,140804.32405598962,0.915,67609.0,0.853,7856.220703125,476408.5526040389,36206.06365781881,512614.61626185774,0.07599792963396071,0.00016613069507849854,3
2,420.9756904755724,0.188133322,0.12912821353479575,0.049799997,0.13833332499999998,2.777777777777777,697342.7938639323,0.0,195821.0,0.557,36840.39453125,495241.0296923544,200363.69972538046,695604.7294177348,0.4045781502591721,0.003326864977762937,1
3,483.34579373259214,0.14386665799999998,0.14416065493842892,0.022133332000000002,0.121733326,5.5,179794.6885579427,0.0,59442.0,0.809,8551.689453125,236320.8070106737,33917.16919839888,270237.9762090725,0.14352172213455153,0.001033021325817976,1
4,701.4045884637642,0.182599989,0.1828487905194412,0.011066666000000001,0.17153332300000002,15.5,201843.8046875,1.212,39443.0,0.8490000000000001,7202.2275390625,486407.00274180743,20525.56519935029,506932.56794115773,0.04219833407753298,0.00011951836710971596,1
5,560.5785423799547,0.193666655,0.11513490155247096,0.038733331,0.15493332399999998,4.0,1166191.0590820312,0.0,308356.0,0.5579999999999999,59718.37109375,1278521.2268743278,325332.80808087665,1603854.034955204,0.2544602320574966,0.003226666660262305,1
6,376.3416337333644,0.199199988,0.16230412735430635,0.05533333,0.14386665799999998,2.6,9466836.904378254,2.161,1911141.0,0.691,380699.21875,8800544.038590536,1353117.777312152,10153661.815902688,0.15375387832601115,0.003628892695068164,1
7,376.3416337333644,0.254533318,0.2126510745138534,0.17153332300000002,0.082999995,0.4838709677419355,10956518.464274088,2.8,989168.0,0.946,251776.09375,884251.5501447612,1791126.3065575766,2675377.856702338,2.025584581971443,0.0028146512922913123,1
8,376.3416337333644,0.370733311,0.32901413569571514,0.298799982,0.07193332899999999,0.24074074074074076,12025781.465494793,5.492000000000001,158149.0,3.0610000000000004,58631.21875,102801.67006213652,668581.5326383653,771383.2027005018,6.503605751095811,0.0054073224250199324,1
9,226.19275033008608,0.105133327,0.10548283624839336,0.0055333330000000005,0.099599994,18.0,105203.037109375,0.0,53831.0,0.978,5659.4208984375,1022786.9709698479,27548.83146587552,1050335.8024357234,0.02693506296795373,2.7713186487902117e-05,1
10,319.1881131985382,0.243466652,0.24387244729537125,0.0055333330000000005,0.237933319,43.0,254047.37447102863,1.1159999999999999,24199.0,0.98,5891.724609375,1064769.5718611188,12218.132203091724,1076987.7040642104,0.011474907365859035,2.1093269497495568e-05,1
11,359.20679855805565,0.15493332399999998,0.15496875282647332,0.0055333330000000005,0.14939999099999998,27.0,179765.51086425778,0.987,35683.0,1.161,5528.47998046875,999122.9482246506,18161.64322678917,1017284.5914514399,0.01817758591078379,2.3698482273467603e-05,3
12,272.2344947235878,0.188133322,0.18831381433585465,0.0055333330000000005,0.182599989,33.0,207628.2784016927,1.033,30594.0,1.061,5755.736328125,1040193.3749739984,15510.171930039167,1055703.5469040377,0.014910854369195413,2.238653830866128e-05,1
13,529.5621326111803,0.13833332499999998,0.10192996894199564,0.038733331,0.099599994,2.571428571428572,282867.01497395826,0.0,130789.0,0.625,18092.466796875,345654.39669166174,119408.59648699092,465062.9931786527,0.3454566110828569,0.0017408218750180554,1
14,316.13862924362036,0.22133332,0.17628955946215547,0.038733331,0.182599989,4.714285714285714,669756.7683105469,0.0,87039.0,0.8690000000000001,19264.697265625,389968.7949678953,63542.42417374281,453511.21914163814,0.16294233024202368,0.003346270124276007,1
15,420.35311972099646,0.099599994,0.09946122937953156,0.016599998999999997,0.082999995,5.0,112649.53649902345,1.35,77889.0,0.807,7757.78076171875,304074.946483387,44736.709028213714,348811.65551160066,0.14712395593780986,0.0006067375415779838,3
16,273.17257519731345,0.16599999,0.16399368457817354,0.0055333330000000005,0.16046665699999998,29.0,452293.84924316406,0.278,35140.0,2.585,5833.27490234375,1054206.371158893,18090.25240271885,1072296.623561612,0.01716006741908813,2.3191886609200416e-05,1
17,790.5765473177895,0.188133322,0.1880385307265072,0.027666665,0.16046665699999998,5.8,219834.5146484375,1.114,35138.0,0.978,6610.6435546875,135996.2935621955,20187.139728770417,156183.43329096588,0.14843889638461494,0.0015612107668469125,1
18,383.2076347727838,0.16046665699999998,0.1619695299449399,0.016599998999999997,0.14386665799999998,8.666666666666666,299115.19531249994,1.5830000000000002,82210.0,0.782,13192.037109375,496298.9733186154,44364.12261914264,540663.095937758,0.08938991415293866,0.0004032018916960715,3
19,396.3177533093791,0.22133332,0.15120632160440736,0.044266664000000004,0.17706665600000002,4.0,1185549.9412434895,2.3680000000000003,211163.0,0.634,46737.43359375,1128737.9065489115,179066.6232691789,1307804.5298180904,0.15864322641264947,0.0042144217603426026,1
20,396.3177533093791,0.315399981,0.2755346517261117,0.193666655,0.121733326,0.6285714285714286,1407378.700520833,0.0,59546.0,1.315,18780.669921875,51158.115498572304,102091.5919430289,153249.7074416012,1.9956089263272028,0.004586654637212082,1
21,534.349607377507,0.14939999099999998,0.14966076376530946,0.022133332000000002,0.127266659,5.750000000000001,174597.3326822917,0.0,55924.0,0.774,8355.107421875,231748.74314016977,31735.99858618516,263484.74172635487,0.13694140540382613,0.0010049801240806435,1
